,Location,Country,City,Borough,County,{
898,"Parsippany, New Jersey",US,Parsippany-Troy Hills, ,Morris,
899,"Garnerville, New York",US,Haverstraw,Garnerville,Rockland,
900,"Old Tappan, New Jersey",US,Old Tappan, ,Bergen,
901,"Peru, New York",US,Peru, ,Clinton,
902,"Mount Upton, New York",US,Guilford,Mount Upton,Chenango,
903,"Lodi, New Jersey",US,Lodi, ,Bergen,
904,"Franklin, New York",US, , ,Franklin,
905,"Mesquite, Texas",US,Mesquite, ,Dallas,
906,"Fairfield, Connecticut",US,Fairfield, ,Greater Bridgeport Planning Region,
907,"Richmondville, New York",US,Richmondville,Richmondville,Schoharie,
908,"Greensboro, North Carolina",US,Greensboro, ,Guilford,
909,"Glen Cove, New York",US,Glen Cove, ,Nassau,
910,"Newton, Massachussets",US,Newton, ,Middlesex,
911,"Chicago, Illinois",US,Chicago, ,Cook County,
912,"Windham, New York",US,Windham, ,Greene County,
913,"East Longmeadow, Massachussets",US,Longmeadow, ,Hampden County,
914,"Hopewell, New Jersey",US,Hopewell, ,Mercer,
915,"Attleboro, Massachussets",US,North Attleborough, ,Bristol,
916,"Dumont, New Jersey",US,Dumont, ,Bergen,
917,"Circleville, New York",US,Wallkill,Circleville,Orange,
918,"Wappingers Falls, New York",US,Wappingers Falls, ,Dutchess,
919,"Kenmore, New York",US,Town of Tonawanda,Kenmore,Erie County,
920,"Castleton On Hudson, New York",US,Castleton-on-Hudson, ,Rensselaer,
921,"Millburn, New Jersey",US,Millburn, ,Essex,
922,"Irvington, New Jersey",US,Irvington, ,Essex,
923,"North White Plains, New York",US,White Plains, ,Westchester,
924,"Hauppauge, New York",US,Smithtown,Hauppauge,Suffolk,
925,"Rahway, New Jersey",US,Rahway, ,Union,
926,"Pinellas Park, Florida",US,Pinellas Park, ,Pinellas,
927,"Mount Vernon, New York",US,Mount Vernon, ,Westchester,
928,"Saint Louis, Missouri",US,Saint Louis, , ,
929,"Bellport, New York",US,Brookhaven,Bellport,Suffolk,
930,"Briarwood, New York",US,New York,Queens, ,
931,"Andover, Massachussets",US,Andover, ,Essex County,
932,"Sandy Hook, Connecticut",US,Newtown,Sandy Hook,Western Connecticut Planning Region,
933,"Fayetteville, New York",US,Manlius,Fayetteville,Onondaga,
934,"Lincolndale, New York",US,Somers,Lincolndale,Westchester,
935,"The Villages, Florida",US,The Villages, ,Sumter,
936,"Dallas, Texas",US,Dallas, ,Dallas,
937,"Sunnew Yorkside, New York",US,Yorkshire, ,Cattaraugus,
938,"Hempstead, New York",US,Hempstead, ,Nassau,
939,"Wainscott, New York",US,East Hampton,Wainscott,Suffolk,
940,"Gainesville, Florida",US,Gainesville, ,Alachua,
941,"Shenandoah, Pennsylvania",US,Shenandoah, ,Schuylkill,
942,"Ithaca, New York",US,Ithaca, ,Tompkins,
943,"Cortlandt Manor, New York",US,Bari Manor,Croton-on-Hudson,Westchester,
944,"Pine Bush, New York",US,Pine Bush, ,Orange,
945,"Arlington, Texas",US,Arlington, ,Tarrant County,
946,"Bloomfield, New York",US,Bloomfield, ,Ontario,
947,"Schenectady, New York",US,Schenectady, ,Schenectady County,
948,"Wassaic, New York",US,Amenia,Wassaic,Dutchess,
949,"Baldwinsville, New York",US,Lysander,Baldwinsville,Onondaga,
950,"Elmhurst, New York",US,Elmhurst,Queens, ,
951,"Jewett City, Connecticut",US,Pachaug,Jewett City,Southeastern Connecticut Planning Region,
952,"Wappinger, New York",US,Wappinger, ,Dutchess,
953,"Mount Tremper, New York",US,Shandaken, ,Ulster,
954,"Laurel, New York",US,Southold,Laurel,Suffolk,
955,"Stamford, Connecticut",US,Stamford, ,Western Connecticut Planning Region,
956,"Staten Island, New York",US,Staten Island,Staten Island, ,
957,"Galesville, Wisconsin",US,Galesville, ,Trempealeau,
958,"Milan, New York",US,Milan, ,Dutchess,
959,"Clinton, New Jersey",US,Clinton, ,Hunterdon,
960,"Waitsfield, Vermont",US,Waitsfield, ,Washington,
961,"Fort Ann, New York",US,Fort Ann,Fort Ann,Washington,
962,"Mt. Kisco, New York",US,Armonk, ,Westchester,
963,"Kennett Square, Pennsylvania",US,Kennett Square, ,Chester,
964,"Northford, Connecticut",US,North Branford,Northford,South Central Connecticut Planning Region,
965,"Washingtonville, New York",US,Washingtonville, ,Orange,
966,"Clinton, New York",US, , ,Clinton,
967,"Bloomingburg, New York",US,Bloomingburg, ,Sullivan,
968,"Lebanon, New Jersey",US,Lebanon, ,Hunterdon,
969,"Plano, Texas",US,Plano, ,Collin,
970,"Highland, Maryland",US,Highland, ,Howard,
971,"Chestnut Ridge, New York",US,Chestnut Ridge, ,Rockland,
972,"Millwood, New York",US,Millwood,Tompkins Corners,Westchester,
973,"Milton, New York",US,Milton, ,Saratoga,
974,"Mahwah, New Jersey",US,Mahwah, ,Bergen,
975,"Falmouth, Massachussets",US,Falmouth, ,Barnstable,
976,"Gansevoort, New York",US,New York,Manhattan, ,
977,"Westland, Michigan",US,Westland, ,Wayne,
978,"Harrison, New York",US,Harrison, ,Westchester,
979,"Carrollton, Texas",US,Carrollton, ,Dallas,
980,"Sayville, New York",US,Islip,Sayville,Suffolk,
981,"Rexford, New York",US,Clifton Park,Rexford,Saratoga,
982,"Riverdale, New Jersey",US,Riverdale, ,Morris,
983,"Walton, New York",US,Walton,Walton,Delaware,
984,"Slate Hill, New York",US,Wawayanda,Slate Hill,Orange,
985,"Sugar Loaf, New York",US,Sugar Loaf Commons,Sugar Loaf,Orange,
986,"Vero Beach, Florida",US,Vero Beach, ,Indian River County,
987,"Scituate, Massachussets",US,Scituate, ,Plymouth,
988,"Great Neck, New York",US,Great Neck, ,Nassau,
989,"Rinebeck, New York",US,New York, , ,
990,"Coram, New York",US,Brookhaven,Coram,Suffolk,
991,"Fleetwood, New York",US,Mount Vernon, ,Westchester,
992,"New Windsor, New York",US,New Windsor, ,Orange,
993,"Holmes, New York",US,New York,Manhattan, ,
994,"Baltimore, Maryland",US,Baltimore, , ,
995,"West Coxsackie, New York",US,Coxsackie,West Coxsackie,Greene County,
996,"Scotch Plains, New Jersey",US,Scotch Plains, ,Union,
997,"Sharon, Connecticut",US,Sharon, ,Northwest Hills Planning Region,
998,"North Yarmouth, Maine",US,North Yarmouth, ,Cumberland,
999,"Lake Hopatcong, New Jersey",US,Hopatcong, ,Sussex,
1000,"Des Moines, Iowa",US,Des Moines, ,Polk,
1001,"Newcastle, Maine",US,Newcastle, ,Lincoln,
1002,"Howard Beach, New York",US,New York,Queens, ,
1003,"Pound Ridge, New York",US,Pound Ridge, ,Westchester,
1004,"Monsey, New York",US,Monsey, ,Rockland,
1005,"West Islip, New York",US,Islip,West Islip,Suffolk,
1006,"Port Ewen, New York",US,Esopus,Port Ewen,Ulster,
1007,"Goshen, New York",US,Goshen,Goshen,Orange,
1008,"Croton, New York",US,Cortlandt,Croton-on-Hudson,Westchester,
1009,"Ardsley, New York",US,Ardsley, ,Westchester,
1010,"Aberdeen, New Jersey",US,Aberdeen Township, ,Monmouth,
1011,"Danbury, Connecticut",US,Danbury, ,Western Connecticut Planning Region,
1012,"Dedham, Massachussets",US,Dedham, ,Norfolk,
1013,"Chamblee, Georgia",US,Chamblee, ,DeKalb,
1014,"Franconia, New Hampshire",US,Franconia, ,Grafton,
1015,"West Park, New York",US,New York,Manhattan, ,
1016,"Gornment, New York",US,New York, , ,
1017,"Aventura, Florida",US,Aventura, ,Miami-Dade,
1018,"East Durham, New York",US,Durham,East Durham,Greene County,
1019,"Williamsville, New York",US,Amherst,Williamsville,Erie County,
1020,"Mishawaka, Indiana",US,Mishawaka, ,Saint Joseph,
1021,"Bryn Mawr, Pennsylvania",US,Lower Merion Township,Bryn Mawr,Montgomery,
1022,"Tarzana, California",US,Los Angeles,Tarzana,Los Angeles,
1023,"Livingston, Montana",US,Livingston, ,Park,
1024,"Syracuse, New York",US,Syracuse, ,Onondaga,
1025,"Woodbury, New York",US,Woodbury, ,Nassau,
1026,"Mohegan Lake, New York",US,Yorktown,Lake Mohegan,Westchester,
1027,"Geneseo, New York",US,Geneseo, ,Livingston,
1028,"Cortland, New York",US, , ,Cortland,
1029,"Ridgefield Park, New Jersey",US,Ridgefield Park, ,Bergen,
1030,"Lake George, New York",US,Lake George,Lake George,Warren,
1031,"Cochecton, New York",US,Cochecton, ,Sullivan,
1032,"Wingdale, New York",US,Wingdale, ,Dutchess,
1033,"West Shokan, New York",US,Olive,West Shokan,Ulster,
1034,"Cornwall, New York",US,Cornwall, ,Orange,
1035,"Santa Fe, New Mexico",US,Santa Fe, ,Santa Fe,
1036,"Raleigh, North Carolina",US,Raleigh, ,Wake,
1037,"Newtonville, Massachussets",US,Newton,Newtonville,Middlesex,
1038,"Rhinecliff, New York",US,Rhinebeck,Rhinecliff,Dutchess,
1039,"Huntersville, North Carolina",US,Huntersville, ,Mecklenburg,
1040,"Clintondale, New York",US,Plattekill,Clintondale,Ulster,
1041,"Ballston Lakes, New York",US,Ballston, ,Saratoga,
1042,"Highlands, North Carolina",US,Highlands, ,Macon,
1043,"Annandale-On-Hudson, New York",US,Red Hook,Annandale-on-Hudson,Dutchess,
1044,"Sacremento, California",US, , ,Sacramento,
1045,"Lake Success, New York",US,Lake Success, ,Nassau,
1046,"Tuxedo Road, New York",US,Tuxedo,Tuxedo Park,Orange,
1047,"Canandaigua, New York",US,Canandaigua, ,Ontario,
1048,"Ancramdale, New York",US,Ancram,Ancramdale,Columbia,
1049,"Verplank, New York",US,New Windsor, ,Orange,
1050,"Edgewater, New Jersey",US,Edgewater, ,Bergen,
1051,"Sonoma, California",US, , ,Sonoma,
1052,"Margaretville, New York",US,Middletown,Margaretville,Delaware,
1053,"Pawling, New York",US,Pawling,Pawling,Dutchess,
1054,"Waterbury, Connecticut",US,Waterbury, ,Naugatuck Valley Planning Region,
1055,"Unionville, New York",US,Town of Minisink,Unionville,Orange,
1056,"Liberty, New York",US,New York,Manhattan, ,
1057,"Newton, New Jersey",US,Newton, ,Sussex,
1058,"Yorktown Heights, New York",US,Yorktown,Yorktown Heights,Westchester,
1059,"Harwinton, Connecticut",US,Harwinton, ,Northwest Hills Planning Region,
1060,"Utica, New York",US,Utica, ,Oneida,
1061,"Pittsburgh, Pennsylvania",US,Pittsburgh, ,Allegheny,
1062,"Falmouth, Maine",US,Falmouth, ,Cumberland,
1063,"Muttontown, New York",US,Muttontown, ,Nassau,
1064,"Alameda, California",US,Alameda, ,Alameda County,
1065,"Lexington, Massachussets",US,Lexington, ,Middlesex County,
1066,"Jamaica Estates, New York",US,New York,Queens, ,
1067,"Barrington, New Jersey",US,Barrington, ,Camden,
1068,"Philmont, New York",US,Claverack,Philmont,Columbia,
1069,"Sanibel, Florida",US,Sanibel, ,Lee,
1070,"Rensseler, New York",US, , ,Rensselaer,
1071,"Ketchum, Idaho",US,Ketchum, ,Blaine,
1072,"Calverton, New York",US,Riverhead,Calverton,Suffolk,
1073,"Palm City, Florida",US,Palm City, ,Martin,
1074,"Astoria, New York",US,New York,Manhattan, ,
1075,"St. Augustine, Florida",US,Saint Augustine, ,Saint Johns,
1076,"Coral Gables, Florida",US,Coral Gables, ,Miami-Dade,
1077,"Highland Mills, New York",US,Woodbury,Highland Mills,Orange,
1078,"Kent Cliffs, New York",US,Kent,Kent Cliffs,Putnam,
1079,"Cropseyville, New York",US,Brunswick,Cropseyville,Rensselaer,
1080,"West Seneca, New York",US,West Seneca, ,Erie County,
1081,"Basking Ridge, New Jersey",US,Bernards Township,Basking Ridge,Somerset,
1082,"High Falls, New York",US,Highland Falls, ,Orange,
1083,"Petersburg, New York",US,Petersburgh, ,Rensselaer,
1084,"Bearsville, New York",US,Woodstock,Bearsville,Ulster,
1085,"Tampa, Florida",US,Tampa, ,Hillsborough,
1086,"Cos Cob, Connecticut",US,Greenwich,Cos Cob,Western Connecticut Planning Region,
1087,"Morris Plains, New Jersey",US,Morris Plains, ,Morris,
1088,"Venice, Florida",US,Venice, ,Sarasota,
1089,"Malden-On-Hudson, New York",US,Saugerties,Malden-on-Hudson,Ulster,
1090,"Southampton, New York",US,Southampton,Southampton,Suffolk,
1091,"Auburn, ",US,Auburn, ,King,
1092,"Warren, New Jersey",US, , ,Warren,
1093,"Storrs, Connecticut",US,Mansfield,Storrs,Capitol Planning Region,
1094,"El Sobrante, California",US,El Sobrante, ,Contra Costa,
1095,"Naples, New York",US,Naples,Naples,Ontario,
1096,"Naples, Florida",US,Naples, ,Collier,
1097,"Mount Kisco, New York",US,Mount Kisco, ,Westchester,
1098,"Keene, New Hampshire",US,Keene, ,Cheshire,
1099,"Austin, Texas",US,Austin, ,Travis,
1100,"North Bay Village, Florida",US,North Bay Village, ,Miami-Dade,
1101,"Verona, New Jersey",US,Verona, ,Essex,
1102,"Chappaqua, New York",US,Chappaqua, ,Westchester,
1103,"Woodmere, New York",US,Woodmere, ,Nassau,
1104,"Scarborough, New York",US,Scarborough,Briarcliff Manor,Westchester,
1105,"Takoma Park, Maryland",US,Takoma Park, ,Montgomery,
1106,"Milford, Connecticut",US,Milford, ,South Central Connecticut Planning Region,
1107,"Chatham, New Jersey",US,Chatham, ,Morris,
1108,"Schuylerville, New York",US,Schuylerville, ,Saratoga,
1109,"Latham, New York",US,Colonie,Latham,Albany,
1110,"Tuxedo Park, New York",US,Tuxedo,Tuxedo Park,Orange,
1111,"Wallington, New Jersey",US,Wallington, ,Bergen,
1112,"Rockaway Beach, New York",US,New York,Queens, ,
1113,"California, Pennsylvania",US,California, ,Washington,
1114,"Ellenville, New York",US,Wawarsing,Ellenville,Ulster,
1115,"Beverly, New Jersey",US,Beverly, ,Burlington,
1116,"Stone Ridge, New York",US,Stone Ridge, ,Ulster,
1117,"Nanuet, New York",US,Nanuet, ,Rockland,
1118,"New Baltimore, New York",US,New Baltimore, ,Greene County,
1119,"Clinton, Oklahoma",US,Clinton, ,Custer,
1120,"West Hampton, New York",US,Southampton,West Hampton Dunes,Suffolk,
1121,"Los Angeles, California",US,Los Angeles, ,Los Angeles,
1122,"Bridgeport, Connecticut",US,Bridgeport, ,Greater Bridgeport Planning Region,
1123,"Fort Myers, Florida",US,Fort Myers, ,Lee,
1124,"Cave Creek,  Arizona",US,Cave Creek, ,Maricopa,
1125,"Manorville, New York",US,Brookhaven,Manorville,Suffolk,
1126,"Saratoga Springs, New York",US,Saratoga Springs, ,Saratoga,
1127,"Corinth, New York",US,Corinth,Corinth,Saratoga,
1128,"Winchester, Virginia",US,Winchester, , ,
1129,"Waccabuc, New York",US,Lewisboro,Waccabuc,Westchester,
1130,"Alfred, New York",US,Alfred,Alfred,Allegany,
1131,"Cranford, New Jersey",US,Cranford, ,Union,
1132,"Cairo, New York",US,Cairo, ,Greene County,
1133,"Catskill, New York",US,Catskill,Catskill,Greene County,
1134,"Hastings On Hudson, New York",US,Hastings-on-Hudson, ,Westchester,
1135,"Milton, Georgia",US,Milton, ,Fulton,
1136,"Malden Bridge, New York",US,Chatham,Malden Bridge,Columbia,
1137,"Chatham, New York",US,Chatham,Chatham,Columbia,
1138,"Cazenovia, New York",US,Cazenovia,Cazenovia,Madison,
1139,"Chevy Chase, Maryland",US,Town of Chevy Chase, ,Montgomery,
1140,"Sea Cliff, New York",US,Sea Cliff, ,Nassau,
1141,"Elmont, New York",US,Elmont, ,Nassau,
1142,"Needham, Massachussets",US,Needham, ,Norfolk,
1143,"Stockbridge, Massachussets",US,Stockbridge, ,Berkshire,
1144,"Eagle, Idaho",US,Eagle, ,Ada,
1145,"Morristown, New Jersey",US,Morristown, ,Morris,
1146,"Lincoln, Massachussets",US,Lincoln, ,Middlesex County,
1147,"Manhasset, New York",US,Manhasset, ,Nassau,
1148,"Chesapeake, Virginia",US,Chesapeake, , ,
1149,"Eastchester, New York",US,Eastchester, ,Westchester,
1150,"Branchville, New Jersey",US,Branchville, ,Sussex,
1151,"Secaucus, New Jersey",US,Secaucus, ,Hudson,
1152,"Ny, New York",US,New York, , ,
1153,"Evanston, Illinois",US,Evanston, ,Cook County,
1154,"Brookfield, Connecticut",US,Brookfield, ,Western Connecticut Planning Region,
1155,"Wyndmoor, Pennsylvania",US,Wyndmoor, ,Montgomery,
1156,"Argyle, New York",US,Argyle,Argyle,Washington,
1157,"Bedford Corners, New York",US,Bedford,Bedford Four Corners,Westchester,
1158,"West Harrison, New York",US,Harrison, ,Westchester,
1159,"Lakewood, Colorado",US,Lakewood, ,Jefferson,
1160,"Park Ridge, New Jersey",US,Park Ridge, ,Bergen,
1161,"Lexington, New York",US,New York,Manhattan, ,
1162,"Matawan, New Jersey",US,Matawan, ,Monmouth,
1163,"West Hurley, New York",US,Hurley,West Hurley,Ulster,
1164,"Charlottesville, Virginia",US,Charlottesville, , ,
1165,"Elmsford, New York",US,Elmsford, ,Westchester,
1166,"Portland, Maine",US,Portland, ,Cumberland,
1167,"Hoosick Falls, New York",US,Hoosick Falls,Hoosick,Rensselaer,
1168,"Olean, New York",US,Olean, ,Cattaraugus,
1169,"Metuchen, New Jersey",US,Metuchen, ,Middlesex,
1170,"Amherst, Massachussets",US,Amherst, ,Hampshire,
1171,"Hudson, Ohio",US,Hudson, ,Summit,
1172,"Anderson, South Carolina",US,Anderson, ,Anderson,
1173,"Richmond, New York",US,Richmondville,Richmondville,Schoharie,
1174,"Greenville, New York",US,Greenville, ,Orange,
1175,"Hampton Park, New Jersey",US,Stillwater, ,Sussex,
1176,"Wallkill, New York",US,Wallkill, ,Orange,
1177,"West Sand Lake, New York",US,Sand Lake,West Sand Lake,Rensselaer,
1178,"Arroyo Grande, California",US,Arroyo Grande, ,San Luis Obispo,
1179,"Lackawanna, New York",US,Lackawanna, ,Erie County,
1180,"Montville, New Jersey",US,Montville, ,Morris,
1181,"Palenville, New York",US,Catskill,Palenville,Greene County,
1182,"Philo, California",US,Philo, ,Mendocino,
1183,"North Salem, New York",US,North Salem, ,Westchester,
1184,"Shenandoah Junction, West Virginia",US,Shenandoah Junction,Duffields,Jefferson,
1185,"Brentwood, New York",US,Islip,Brentwood,Suffolk,
1186,"Rochester, New York",US,Rochester, ,Monroe County,
1187,"Berkeley Heights, New Jersey",US,Berkeley Heights, ,Union,
1188,"Somerville, Massachussets",US,Somerville, ,Middlesex,
1189,"Callicoon, New York",US,Callicoon, ,Sullivan,
1190,"North Massapequa, New York",US,North Massapequa, ,Nassau,
1191,"Falls Village, Connecticut",US,Canaan,Falls Village,Northwest Hills Planning Region,
1192,"Mt Vernon, New York",US,Mount Vernon, ,Westchester,
1193,"Mendham, New Jersey",US,Mendham, ,Morris,
1194,"Somers, New York",US,Somers, ,Westchester,
1195,"Saugerties, New York",US,Saugerties,Saugerties,Ulster,
1196,"Demarest, New Jersey",US,Demarest, ,Bergen,
1197,"Naugatuck, Connecticut",US,Naugatuck, ,Naugatuck Valley Planning Region,
1198,"Rockville, Maryland",US,Rockville, ,Montgomery,
1199,"Great Falls, Virginia",US,Great Falls, ,Fairfax,
1200,"Norwalk, Connecticut",US,Norwalk, ,Western Connecticut Planning Region,
1201,"Rhinebeck, New York",US,Rhinebeck,Rhinebeck,Dutchess,
1202,"Sebastopol, California",US,Sebastopol, ,Sonoma,
1203,"Watertown, Massachussets",US,Watertown, ,Middlesex County,
1204,"Wilmington, Delaware",US,Wilmington, ,New Castle,
1205,"Shelter Island Heights, New York",US,Shelter Island,Shelter Island Heights,Suffolk,
1206,"Stratford, Connecticut",US,Stratford, ,Greater Bridgeport Planning Region,
1207,"New York, New York",US,New York, , ,
1208,"Livingston, New Jersey",US,Livingston, ,Essex,
1209,"New Rochelle, New York",US,New Rochelle, ,Westchester,
1210,"Yonkers, New York",US,Yonkers, ,Westchester,
1211,"Tucson,  Arizona",US,Tucson, ,Pima,
1212,"Bergenfield, New Jersey",US,Bergenfield, ,Bergen,
1213,,,,,," United States"": ["
1214,,,,,,
1215,,,,,,
1216,,,,,,
1217,,,,,,
1218,,,,,," United States"": ["
1219,,,,,,
1220,,,,,,
1221,,,,,,
1222,,,,,,
1223,,,,,," United States"": ["
1224,,,,,,
1225,,,,,,
1226,,,,,,
1227,,,,,,
1228,,,,,," United States"": ["
1229,,,,,,
1230,,,,,,
1231,,,,,,
1232,,,,,,
1233,,,,,," United States"": ["
1234,,,,,,
1235,,,,,,
1236,,,,,,
1237,,,,,,
1238,,,,,," United States"": ["
1239,,,,,,
1240,,,,,,
1241,,,,,,
1242,,,,,,
1243,,,,,," United States"": ["
1244,,,,,,
1245,,,,,,
1246,,,,,,
1247,,,,,,
1248,,,,,," United States"": ["
1249,,,,,,
1250,,,,,,
1251,,,,,,
1252,,,,,,
1253,,,,,," United States"": ["
1254,,,,,,
1255,,,,,,
1256,,,,,,
1257,,,,,,
1258,,,,,," United States"": ["
1259,,,,,,
1260,,,,,,
1261,,,,,,
1262,,,,,,
1263,,,,,," United States"": ["
1264,,,,,,
1265,,,,,,
1266,,,,,,
1267,,,,,,
1268,,,,,," United States"": ["
1269,,,,,,
1270,,,,,,
1271,,,,,,
1272,,,,,,
1273,,,,,," United States"": ["
1274,,,,,,
1275,,,,,,
1276,,,,,,
1277,,,,,,
1278,,,,,," United States"": ["
1279,,,,,,
1280,,,,,,
1281,,,,,,
1282,,,,,,
1283,,,,,," United States"": ["
1284,,,,,,
1285,,,,,,
1286,,,,,,
1287,,,,,,
1288,,,,,," United States"": ["
1289,,,,,,
1290,,,,,,
1291,,,,,,
1292,,,,,,
1293,,,,,," United States"": ["
1294,,,,,,
1295,,,,,,
1296,,,,,,
1297,,,,,,
1298,,,,,," United States"": ["
1299,,,,,,
1300,,,,,,
1301,,,,,,
1302,,,,,,
1303,,,,,," United States"": ["
1304,,,,,,
1305,,,,,,
1306,,,,,,
1307,,,,,,
1308,,,,,," United States"": ["
1309,,,,,,
1310,,,,,,
1311,,,,,,
1312,,,,,,
1313,,,,,," United States"": ["
1314,,,,,,
1315,,,,,,
1316,,,,,,
1317,,,,,,
1318,,,,,," United States"": ["
1319,,,,,,
1320,,,,,,
1321,,,,,,
1322,,,,,,
1323,,,,,," United States"": ["
1324,,,,,,
1325,,,,,,
1326,,,,,,
1327,,,,,,
1328,,,,,," United States"": ["
1329,,,,,,
1330,,,,,,
1331,,,,,,
1332,,,,,,
1333,,,,,," United States"": ["
1334,,,,,,
1335,,,,,,
1336,,,,,,
1337,,,,,,
1338,,,,,," United States"": ["
1339,,,,,,
1340,,,,,,
1341,,,,,,
1342,,,,,,
1343,,,,,," United States"": ["
1344,,,,,,
1345,,,,,,
1346,,,,,,
1347,,,,,,
1348,,,,,," United States"": ["
1349,,,,,,
1350,,,,,,
1351,,,,,,
1352,,,,,,
1353,,,,,," United States"": ["
1354,,,,,,
1355,,,,,,
1356,,,,,,
1357,,,,,,
1358,,,,,," United States"": ["
1359,,,,,,
1360,,,,,,
1361,,,,,,
1362,,,,,,
1363,,,,,," "": ["
1364,,,,,,
1365,,,,,,
1366,,,,,,
1367,,,,,,
1368,,,,,," United States"": ["
1369,,,,,,
1370,,,,,,
1371,,,,,,
1372,,,,,,
1373,,,,,," United States"": ["
1374,,,,,,
1375,,,,,,
1376,,,,,,
1377,,,,,,
1378,,,,,," United States"": ["
1379,,,,,,
1380,,,,,,
1381,,,,,,
1382,,,,,,
1383,,,,,," United States"": ["
1384,,,,,,
1385,,,,,,
1386,,,,,,
1387,,,,,,
1388,,,,,," United States"": ["
1389,,,,,,
1390,,,,,,
1391,,,,,,
1392,,,,,,
1393,,,,,," United States"": ["
1394,,,,,,
1395,,,,,,
1396,,,,,,
1397,,,,,,
1398,,,,,," United States"": ["
1399,,,,,,
1400,,,,,,
1401,,,,,,
1402,,,,,,
1403,,,,,," United States"": ["
1404,,,,,,
1405,,,,,,
1406,,,,,,
1407,,,,,,
1408,,,,,," United States"": ["
1409,,,,,,
1410,,,,,,
1411,,,,,,
1412,,,,,,
1413,,,,,," United States"": ["
1414,,,,,,
1415,,,,,,
1416,,,,,,
1417,,,,,,
1418,,,,,," United States"": ["
1419,,,,,,
1420,,,,,,
1421,,,,,,
1422,,,,,,
1423,,,,,," United States"": ["
1424,,,,,,
1425,,,,,,
1426,,,,,,
1427,,,,,,
1428,,,,,," United States"": ["
1429,,,,,,
1430,,,,,,
1431,,,,,,
1432,,,,,,
1433,,,,,," United States"": ["
1434,,,,,,
1435,,,,,,
1436,,,,,,
1437,,,,,,
1438,,,,,," United States"": ["
1439,,,,,,
1440,,,,,,
1441,,,,,,
1442,,,,,,
1443,,,,,," United States"": ["
1444,,,,,,
1445,,,,,,
1446,,,,,,
1447,,,,,,
1448,,,,,," United States"": ["
1449,,,,,,
1450,,,,,,
1451,,,,,,
1452,,,,,,
1453,,,,,," United States"": ["
1454,,,,,,
1455,,,,,,
1456,,,,,,
1457,,,,,,
1458,,,,,," United States"": ["
1459,,,,,,
1460,,,,,,
1461,,,,,,
1462,,,,,,
1463,,,,,," United States"": ["
1464,,,,,,
1465,,,,,,
1466,,,,,,
1467,,,,,,
1468,,,,,," United States"": ["
1469,,,,,,
1470,,,,,,
1471,,,,,,
1472,,,,,,
1473,,,,,," United States"": ["
1474,,,,,,
1475,,,,,,
1476,,,,,,
1477,,,,,,
1478,,,,,," United States"": ["
1479,,,,,,
1480,,,,,,
1481,,,,,,
1482,,,,,,
1483,,,,,," United States"": ["
1484,,,,,,
1485,,,,,,
1486,,,,,,
1487,,,,,,
1488,,,,,," United States"": ["
1489,,,,,,
1490,,,,,,
1491,,,,,,
1492,,,,,,
1493,,,,,," United States"": ["
1494,,,,,,
1495,,,,,,
1496,,,,,,
1497,,,,,,
1498,,,,,," United States"": ["
1499,,,,,,
1500,,,,,,
1501,,,,,,
1502,,,,,,
1503,,,,,," United States"": ["
1504,,,,,,
1505,,,,,,
1506,,,,,,
1507,,,,,,
1508,,,,,," United States"": ["
1509,,,,,,
1510,,,,,,
1511,,,,,,
1512,,,,,,
1513,,,,,," United States"": ["
1514,,,,,,
1515,,,,,,
1516,,,,,,
1517,,,,,,
1518,,,,,," United States"": ["
1519,,,,,,
1520,,,,,,
1521,,,,,,
1522,,,,,,
1523,,,,,," United States"": ["
1524,,,,,,
1525,,,,,,
1526,,,,,,
1527,,,,,,
1528,,,,,," United States"": ["
1529,,,,,,
1530,,,,,,
1531,,,,,,
1532,,,,,,
1533,,,,,," United States"": ["
1534,,,,,,
1535,,,,,,
1536,,,,,,
1537,,,,,,
1538,,,,,," United States"": ["
1539,,,,,,
1540,,,,,,
1541,,,,,,
1542,,,,,,
1543,,,,,," United States"": ["
1544,,,,,,
1545,,,,,,
1546,,,,,,
1547,,,,,,
1548,,,,,," United States"": ["
1549,,,,,,
1550,,,,,,
1551,,,,,,
1552,,,,,,
1553,,,,,," United States"": ["
1554,,,,,,
1555,,,,,,
1556,,,,,,
1557,,,,,,
1558,,,,,," Austria"": ["
1559,,,,,,
1560,,,,,,
1561,,,,,,
1562,,,,,,
1563,,,,,," United States"": ["
1564,,,,,,
1565,,,,,,
1566,,,,,,
1567,,,,,,
1568,,,,,," United States"": ["
1569,,,,,,
1570,,,,,,
1571,,,,,,
1572,,,,,,
1573,,,,,," United States"": ["
1574,,,,,,
1575,,,,,,
1576,,,,,,
1577,,,,,,
1578,,,,,," United States"": ["
1579,,,,,,
1580,,,,,,
1581,,,,,,
1582,,,,,,
1583,,,,,," United States"": ["
1584,,,,,,
1585,,,,,,
1586,,,,,,
1587,,,,,,
1588,,,,,," United States"": ["
1589,,,,,,
1590,,,,,,
1591,,,,,,
1592,,,,,,
1593,,,,,," United States"": ["
1594,,,,,,
1595,,,,,,
1596,,,,,,
1597,,,,,,
1598,,,,,," United States"": ["
1599,,,,,,
1600,,,,,,
1601,,,,,,
1602,,,,,,
1603,,,,,," United States"": ["
1604,,,,,,
1605,,,,,,
1606,,,,,,
1607,,,,,,
